,Subject_id
312,146240
313,146241
314,146242
315,146243
316,146244
317,146245
318,146246
319,146247
320,146248
321,146249
322,146250
323,146251
324,146252
325,146253
326,146254
327,146255
328,146256
329,146257
330,146258
331,146259
332,146260
333,146261
334,146262
335,146263
336,146264
337,146265
338,146266
339,146267
340,146268
341,146269
342,146270
343,146271
344,146272
345,146273
346,146274
347,146275
348,146276
349,146277
350,146278
351,146279
352,146280
353,146281
354,146282
355,146283
356,146284
357,146285
358,146286
359,146287
360,146288
361,146289
362,146290
363,146291
364,146292
365,146293
366,146294
367,146295
368,146296
369,146297
370,146298
371,146299
372,146300
373,146301
374,146302
375,146303
376,146304
377,146305
378,146306
379,146307
380,146308
381,146309
382,146310
383,146311
384,146312
385,146313
386,146314
387,146315
388,146316
389,146317
390,146318
391,146319
392,146320
393,146321
394,146322
395,146323
396,146324
397,146325
398,146326
399,146327
400,146328
401,146329
402,146330
403,146331
404,146332
405,146333
406,146334
407,146335
408,146336
409,146337
410,146338
411,146339
412,146340
413,146341
414,146342
415,146343
416,146344
417,146345
418,146346
419,146347
420,146348
421,146349
422,146350
423,146351
424,146352
425,146353
426,146354
427,146355
428,146356
429,146357
430,146358
431,146359
432,146360
433,146361
434,146362
435,146363
436,146364
437,146365
438,146366
439,146367
440,146368
441,146369
442,146370
443,146371
444,146372
445,146373
446,146374
447,146375
448,146376
449,146377
450,146378
451,146379
452,146380
453,146381
454,146382
455,146383
456,146384
457,146385
458,146386
459,146387
460,146388
461,146389
462,146390
463,146391
464,146392
465,146393
466,146394
467,146395
468,146396
469,146397
470,146398
471,146399
472,146400
473,146401
474,146402
475,146403
476,146404
477,146405
478,146406
479,146407
480,146408
481,146409
482,146410
483,146411
484,146412
485,146413
486,146414
487,146415
488,146416
489,146417
490,146418
491,146419
492,146420
493,146421
494,146422
495,146423
496,146424
497,146425
498,146426
499,146427
500,146428
501,146429
502,146430
503,146431
504,146432
505,146433
506,146434
507,146435
508,146436
509,146437
510,146438
511,146439
512,146440
513,146441
514,146442
515,146443
516,146444
517,146445
518,146446
519,146447
520,146448
521,146449
522,146450
523,146451
524,146452
525,146453
526,146454
527,146455
528,146456
529,146457
530,146458
531,146459
532,146460
533,146461
534,146462
535,146463
536,146464
537,146465
538,146466
539,146467
540,146468
541,146469
542,146470
543,146471
544,146472
545,146473
546,146474
547,146475
548,146476
549,146477
550,146478
551,146479
552,146480
553,146481
554,146482
555,146483
556,146484
557,146485
558,146486
559,146487
560,146488
561,146489
562,146490
563,146491
564,146492
565,146493
566,146494
567,146495
568,146496
569,146497
570,146498
571,146499
572,146500
573,146501
574,146502
575,146503
576,146504
577,146505
578,146506
579,146507
580,146508
581,146509
582,146510
583,146511
584,146512
585,146513
586,146514
587,146515
588,146516
589,146517
590,146518
591,146519
592,146520
593,146521
594,146522
595,146523
596,146524
597,146525
598,146526
599,146527
600,146528
601,146529
602,146530
603,146531
604,146532
605,146533
606,146534
607,146535
608,146536
609,146537
610,146538
611,146539
612,146540
613,146541
614,146542
615,146543
616,146544
617,146545
618,146546
619,146547
620,146548
621,146549
622,146550
623,146551
624,146552
625,146553
626,146554
627,146555
628,146556
629,146557
630,146558
631,146559
632,146560
633,146561
634,146562
635,146563
636,146564
637,146565
638,146566
639,146567
640,146568
641,146569
642,146570
643,146571
644,146572
645,146573
646,146574
647,146575
648,146576
649,146577
650,146578
651,146579
652,146580
653,146581
654,146582
655,146583
656,146584
657,146585
658,146586
659,146587
660,146588
661,146589
662,146590
663,146591
664,146592
665,146593
666,146594
667,146595
668,146596
669,146597
670,146598
671,146599
672,146600
673,146601
674,146602
675,146603
676,146604
677,146605
678,146606
679,146607
680,146608
681,146609
682,146610
683,146611
684,146612
685,146613
686,146614
687,146615
688,146616
689,146617
690,146618
691,146619
692,146620
693,146621
694,146622
695,146623
696,146624
697,146625
698,146626
699,146627
700,146628
701,146629
702,146630
703,146631
704,146632
705,146633
706,146634
707,146635
708,146636
709,146637
710,146638
711,146639
712,146640
713,146641
714,146642
715,146643
716,146644
717,146645
718,146646
719,146647
720,146648
721,146649
722,146650
723,146651
724,146652
725,146653
726,146654
727,146655
728,146656
729,146657
730,146658
731,146659
732,146660
733,146661
734,146662
735,146663
736,146664
737,146665
738,146666
739,146667
740,146668
741,146669
742,146670
743,146671
744,146672
745,146673
746,146674
747,146675
748,146676
749,146677
750,146678
751,146679
752,146680
753,146681
754,146682
755,146683
756,146684
757,146685
758,146686
759,146687
760,146688
761,146690
762,146691
763,146692
764,146693
765,146694
766,146695
767,146696
768,146697
769,146698
770,146699
771,146700
772,146701
773,146702
774,146703
775,146704
776,146705
777,146706
778,146707
779,146708
780,146709
781,146710
782,146711
783,146712
784,146713
785,146714
786,146715
787,146716
788,146717
789,146718
790,146719
791,146720
792,146721
793,146722
794,146723
795,146724
796,146725
797,146726
798,146727
799,146728
800,146729
801,146730
802,146731
803,146732
804,146733
805,146734
806,146735
807,146736
808,146737
809,146738
810,146739
811,146740
812,146741
813,146742
814,146743
815,146744
816,146745
817,146746
818,146747
819,146748
820,146749
821,146750
822,146751
823,146752
824,146753
825,146754
826,146755
827,146756
828,146757
829,146758
830,146759
831,146760
832,146761
833,146762
834,146763
835,146764
836,146765
837,146766
838,146767
839,146768
840,146769
841,146770
842,146771
843,146772
844,146773
845,146774
846,146775
847,146776
848,146777
849,146778
850,146779
851,146780
852,146781
853,146782
854,146783
855,146784
856,146785
857,146786
858,146787
859,146788
860,146789
861,146790
862,146791
863,146792
864,146793
865,146794
866,146795
867,146796
868,146797
869,146798
870,146799
871,146800
872,146801
873,146802
874,146803
875,146804
876,146805
877,146806
878,146807
879,146808
880,146809
881,146810
882,146811
883,146812
884,146813
885,146814
886,146815
887,146816
888,146817
889,146818
890,146819
891,146820
892,146821
893,146822
894,146823
895,146824
896,146825
897,146826
898,146827
899,146828
900,146829
901,146830
902,146831
903,146832
904,146833
905,146834
906,146835
907,146836
908,146837
909,146838
910,146839
911,146840
912,146841
913,146842
914,146843
915,146844
916,146845
917,146846
918,146847
919,146848
920,146849
921,146850
922,146851
923,146852
924,146853
925,146854
926,146855
927,146856
928,146857
929,146858
930,146859
931,146860
932,146861
933,146862
934,146863
935,146864
936,146865
937,146866
938,146867
939,146868
940,146869
941,146870
942,146871
943,146872
944,146873
945,146874
946,146875
947,146876
948,146877
949,146878
950,146879
951,146880
952,146881
953,146882
954,146883
955,146884
956,146885
957,146886
958,146887
959,146888
960,146889
961,146890
962,146891
963,146892
964,146893
965,146894
966,146895
967,146896
968,146897
969,146898
970,146899
971,146900
972,146901
973,146902
974,146903
975,146904
976,146905
977,146906
978,146907
979,146908
980,146909
981,146910
982,146911
983,146912
984,146913
985,146914
986,146915
987,146916
988,146917
989,146918
990,146919
991,146920
992,146921
993,146922
994,146923
995,146924
996,146925
997,146926
998,146927
999,146928
1000,146929
1001,146930
1002,146931
1003,146932
1004,146933
1005,146934
1006,146935
1007,146936
1008,146937
1009,146938
1010,146939
1011,146940
1012,146941
1013,146942
1014,146943
1015,146944
1016,146945
1017,146946
1018,146947
1019,146948
1020,146949
1021,146950
1022,146951
1023,146952
1024,146953
1025,146954
1026,146955
1027,146956
1028,146957
1029,146958
1030,146959
1031,146960
1032,146961
1033,146962
1034,146963
1035,146964
1036,146965
1037,146966
1038,146967
1039,146968
1040,146969
1041,146970
1042,146971
1043,146972
1044,146973
1045,146974
1046,146975
1047,146976
1048,146977
1049,146978
1050,146979
1051,146980
1052,146981
1053,146982
1054,146983
1055,146984
1056,146985
1057,146986
1058,146987
1059,146988
1060,146989
1061,146991
1062,146992
1063,146993
1064,146994
1065,146995
1066,146996
1067,146997
1068,146998
1069,146999
1070,147000
1071,147001
1072,147002
1073,147003
1074,147004
1075,147005
1076,147006
1077,147007
1078,147008
1079,147009
1080,147010
1081,147011
1082,147012
1083,147013
1084,147014
1085,147015
1086,147016
1087,147017
1088,147018
1089,147019
1090,147020
1091,147021
1092,147022
1093,147023
1094,147024
1095,147025
1096,147026
1097,147027
1098,147028
1099,147029
1100,147030
1101,147031
1102,147032
1103,147033
1104,147034
1105,147035
1106,147036
1107,147037
1108,147038
1109,147039
1110,147040
1111,147041
1112,147042
1113,147043
1114,147044
1115,147045
1116,147046
1117,147047
1118,147048
1119,147049
1120,147050
1121,147051
1122,147052
1123,147053
1124,147054
1125,147055
1126,147056
1127,147057
1128,147058
1129,147059
1130,147060
1131,147061
1132,147062
1133,147063
1134,147064
1135,147065
1136,147066
1137,147067
1138,147068
1139,147069
1140,147070
1141,147071
1142,147072
1143,147073
1144,147074
1145,147075
1146,147076
1147,147077
1148,147078
1149,147079
1150,147080
1151,147081
1152,147082
1153,147083
1154,147084
1155,147085
1156,147086
1157,147087
1158,147088
1159,147089
1160,147090
1161,147091
1162,147092
1163,147093
1164,147094
1165,147095
1166,147096
1167,147097
1168,147098
1169,147099
1170,147100
1171,147101
1172,147102
1173,147103
1174,147104
1175,147105
1176,147106
1177,147107
1178,147108
1179,147109
1180,147110
1181,147111
1182,147112
1183,147113
1184,147114
1185,147115
1186,147116
1187,147117
1188,147118
1189,147119
1190,147120
1191,147121
1192,147122
1193,147123
1194,147124
1195,147125
1196,147126
1197,147127
1198,147128
1199,147129
1200,147130
1201,147131
1202,147132
1203,147133
1204,147134
1205,147135
1206,147136
1207,147137
1208,147138
1209,147139
1210,147140
1211,147141
1212,147142
1213,147143
1214,147144
1215,147145
1216,147146
1217,147147
1218,147148
1219,147149
1220,147150
1221,147151
1222,147152
1223,147153
1224,147154
1225,147155
1226,147156
1227,147157
1228,147158
1229,147159
1230,147160
1231,147161
1232,147162
1233,147163
1234,147164
1235,147165
1236,147166
1237,147167
1238,147168
1239,147169
1240,147170
1241,147171
1242,147172
1243,147173
1244,147174
1245,147175
1246,147176
1247,147177
1248,147178
1249,147179
1250,147180
1251,147181
1252,147182
1253,147183
1254,147184
1255,147185
1256,147186
1257,147187
1258,147188
1259,147189
1260,147190
1261,147191
1262,147192
1263,147193
1264,147194
1265,147195
1266,147196
1267,147197
1268,147198
1269,147199
1270,147200
1271,147201
1272,147202
1273,147203
1274,147204
1275,147205
1276,147206
1277,147207
1278,147208
1279,147209
1280,147210
1281,147211
1282,147212
1283,147213
1284,147214
1285,147215
1286,147216
1287,147217
1288,147218
1289,147219
1290,147220
1291,147221
1292,147222
1293,147223
1294,147224
1295,147225
1296,147226
1297,147227
1298,147228
1299,147229
1300,147230
1301,147231
1302,147232
1303,147233
1304,147234
1305,147235
1306,147236
1307,147237
1308,147238
1309,147239
1310,147240
1311,147241
1312,147242
1313,147243
1314,147244
1315,147245
1316,147246
1317,147247
1318,147248
1319,147249
1320,147250
1321,147251
1322,147252
1323,147253
1324,147254
1325,147255
1326,147256
1327,147257
1328,147258
1329,147259
1330,147260
1331,147261
1332,147262
1333,147263
1334,147264
1335,147265
1336,147266
1337,147267
1338,147268
1339,147269
1340,147270
1341,147271
1342,147272
1343,147273
1344,147274
1345,147275
1346,147276
1347,147277
1348,147278
1349,147279
1350,147280
1351,147281
1352,147282
1353,147283
1354,147284
1355,147285
1356,147286
1357,147287
1358,147288
1359,147289
1360,147290
1361,147291
1362,147292
1363,147293
1364,147294
1365,147295
1366,147296
1367,147297
1368,147298
1369,147299
1370,147300
1371,147301
1372,147302
1373,147303
1374,147304
1375,147305
1376,147306
1377,147307
1378,147308
1379,147309
1380,147310
1381,147311
1382,147312
1383,147313
1384,147314
1385,147315
1386,147316
1387,147317
1388,147318
1389,147319
1390,147320
1391,147321
1392,147322
1393,147323
1394,147324
1395,147325
1396,147326
1397,147327
1398,147328
1399,147329
1400,147330
1401,147331
1402,147332
1403,147333
1404,147334
1405,147335
1406,147336
1407,147337
1408,147338
1409,147339
1410,147340
1411,147341
1412,147342
1413,147343
1414,147344
1415,147345
1416,147346
1417,147347
1418,147348
1419,147349
1420,147350
1421,147351
1422,147352
1423,147353
1424,147354
1425,147355
1426,147356
1427,147357
1428,147358
1429,147359
1430,147360
1431,147361
1432,147362
1433,147363
1434,147364
1435,147365
1436,147366
1437,147367
1438,147368
1439,147369
1440,147370
1441,147371
1442,147372
1443,147373
1444,147374
1445,147375
1446,147376
1447,147377
1448,147378
1449,147379
1450,147380
1451,147381
1452,147382
1453,147383
1454,147384
1455,147385
1456,147386
1457,147387
1458,147388
1459,147389
1460,147390
1461,147391
1462,147392
1463,147393
1464,147394
1465,147395
1466,147396
1467,147397
1468,147398
1469,147399
1470,147400
1471,147401
1472,147402
1473,147403
1474,147404
1475,147405
1476,147406
1477,147407
1478,147408
1479,147409
1480,147410
1481,147411
1482,147412
1483,147413
1484,147414
1485,147415
1486,147416
1487,147417
1488,147418
1489,147419
1490,147420
1491,147421
1492,147422
1493,147423
1494,147424
1495,147425
1496,147426
1497,147427
1498,147428
1499,147429
1500,147430
1501,147431
1502,147432
1503,147433
1504,147434
1505,147435
1506,147436
1507,147437
1508,147438
1509,147439
1510,147440
1511,147441
1512,147442
1513,147443
1514,147444
1515,147445
1516,147446
1517,147447
1518,147448
1519,147449
1520,147450
1521,147451
1522,147452
1523,147453
1524,147454
1525,147455
1526,147456
1527,147457
1528,147458
1529,147459
1530,147460
1531,147461
1532,147462
1533,147463
1534,147464
1535,147465
1536,147466
1537,147467
1538,147468
1539,147469
1540,147470
1541,147471
1542,147472
1543,147473
1544,147474
1545,147475
1546,147476
1547,147477
1548,147478
1549,147479
1550,147480
1551,147481
1552,147482
1553,147483
1554,147484
1555,147485
1556,147486
1557,147487
1558,147488
1559,147489
1560,147490
1561,147491
1562,147492
1563,147493
1564,147494
1565,147495
1566,147496
1567,147497
1568,147498
1569,147499
1570,147500
1571,147501
1572,147502
1573,147503
1574,147504
1575,147505
1576,147506
1577,147507
1578,147508
1579,147509
1580,147510
1581,147511
1582,147512
1583,147513
1584,147514
1585,147515
1586,147516
1587,147517
1588,147518
1589,147519
1590,147520
1591,147521
1592,147522
1593,147523
1594,147524
1595,147525
1596,147526
1597,147527
1598,147528
1599,147529
1600,147530
1601,147531
1602,147532
1603,147533
1604,147534
1605,147535
1606,147536
1607,147537
1608,147538
1609,147539
1610,147540
1611,147541
1612,147542
1613,147543
1614,147544
1615,147545
1616,147546
1617,147547
1618,147548
1619,147549
1620,147550
1621,147551
1622,147552
1623,147553
1624,147554
1625,147555
1626,147556
1627,147557
1628,147558
1629,147559
1630,147560
1631,147561
1632,147562
1633,147563
1634,147564
1635,147565
1636,147566
1637,147567
1638,147568
1639,147569
1640,147570
1641,147571
1642,147572
1643,147573
1644,147574
1645,147575
1646,147576
1647,147577
1648,147578
1649,147579
1650,147580
1651,147581
1652,147582
1653,147583
1654,147584
1655,147585
1656,147586
1657,147587
1658,147588
1659,147589
1660,147590
1661,147591
1662,147592
1663,147593
1664,147594
1665,147595
1666,147596
1667,147597
1668,147598
1669,147599
1670,147600
1671,147601
1672,147602
1673,147603
1674,147604
1675,147605
1676,147606
1677,147607
1678,147608
1679,147609
1680,147610
1681,147611
1682,147612
1683,147613
1684,147614
1685,147615
1686,147616
1687,147617
1688,147618
1689,147619
1690,147620
1691,147621
1692,147622
1693,147623
1694,147624
1695,147625
1696,147626
1697,147627
1698,147628
1699,147629
1700,147630
1701,147631
1702,147632
1703,147633
1704,147634
1705,147635
1706,147636
1707,147637
1708,147638
1709,147639
1710,147640
1711,147641
1712,147642
1713,147643
1714,147644
1715,147645
1716,147646
1717,147647
1718,147648
1719,147649
1720,147650
1721,147651
1722,147652
1723,147653
1724,147654
1725,147655
1726,147656
1727,147657
1728,147658
1729,147659
1730,147660
1731,147661
1732,147662
1733,147663
1734,147664
1735,147665
1736,147666
1737,147667
1738,147668
1739,147669
1740,147670
1741,147671
1742,147672
1743,147673
1744,147674
1745,147675
1746,147676
1747,147677
1748,147678
1749,147679
1750,147680
1751,147681
1752,147682
1753,147683
1754,147684
1755,147685
1756,147686
1757,147687
1758,147688
1759,147689
1760,147690
1761,147691
1762,147692
1763,147693
1764,147694
1765,147695
1766,147696
1767,147697
1768,147698
1769,147699
1770,147700
1771,147701
1772,147702
1773,147703
1774,147704
1775,147705
1776,147706
1777,147707
1778,147708
1779,147709
1780,147710
1781,147711
1782,147712
1783,147713
1784,147714
1785,147715
1786,147716
1787,147717
1788,147718
1789,147719
1790,147720
1791,147721
1792,147722
1793,147723
1794,147724
1795,147725
1796,147726
1797,147727
1798,147728
1799,147729
1800,147730
1801,147731
1802,147732
1803,147733
1804,147734
1805,147735
1806,147736
1807,147737
1808,147738
1809,147739
1810,147740
1811,147741
1812,147742
1813,147743
1814,147744
1815,147745
1816,147746
1817,147747
1818,147748
1819,147749
1820,147750
1821,147751
1822,147752
1823,147753
1824,147754
1825,147755
1826,147756
1827,147757
1828,147758
1829,147759
1830,147760
1831,147761
1832,147762
1833,147763
1834,147764
1835,147765
1836,147766
1837,147767
1838,147768
1839,147769
1840,147770
1841,147771
1842,147772
1843,147773
1844,147774
1845,147775
1846,147776
1847,147777
1848,147778
1849,147779
1850,147780
1851,147781
1852,147782
1853,147783
1854,147784
1855,147785
1856,147786
1857,147787
1858,147788
1859,147789
1860,147790
1861,147791
1862,147792
1863,147793
1864,147794
1865,147795
1866,147796
1867,147797
1868,147798
1869,147799
1870,147800
1871,147801
1872,147802
1873,147803
1874,147804
1875,147805
1876,147806
1877,147807
1878,147808
1879,147809
1880,147810
1881,147811
1882,147812
1883,147813
1884,147814
1885,147815
1886,147816
1887,147817
1888,147818
1889,147819
1890,147820
1891,147821
1892,147822
1893,147823
1894,147824
1895,147825
1896,147826
1897,147827
1898,147828
1899,147829
1900,147830
1901,147831
1902,147832
1903,147833
1904,147834
1905,147835
1906,147836
1907,147837
1908,147838
1909,147839
1910,147840
1911,147841
1912,147842
1913,147843
1914,147844
1915,147845
1916,147846
1917,147847
1918,147848
1919,147849
1920,147850
1921,147851
1922,147852
1923,147853
1924,147854
1925,147855
1926,147856
1927,147857
1928,147858
1929,147859
1930,147860
1931,147861
1932,147862
1933,147863
1934,147864
1935,147865
1936,147866
1937,147867
1938,147868
1939,147869
1940,147870
1941,147871
1942,147872
1943,147873
1944,147874
1945,147875
1946,147876
1947,147877
1948,147878
1949,147879
1950,147880
1951,147881
1952,147882
1953,147883
1954,147884
1955,147885
1956,147886
1957,147887
1958,147888
1959,147889
1960,147890
1961,147891
1962,147892
1963,147893
1964,147894
1965,147895
1966,147896
1967,147897
1968,147898
1969,147899
1970,147900
1971,147901
1972,147902
1973,147903
1974,147904
1975,147905
1976,147906
1977,147907
1978,147908
1979,147909
1980,147910
1981,147911
1982,147912
1983,147913
1984,147914
1985,147915
1986,147916
1987,147917
1988,147918
1989,147919
1990,147920
1991,147921
1992,147922
1993,147923
1994,147924
1995,147925
1996,147926
1997,147927
1998,147928
1999,147929
2000,147930
2001,147931
2002,147932
2003,147933
2004,147934
2005,147935
2006,147936
2007,147937
2008,147938
2009,147939
2010,147940
2011,147941
2012,147942
2013,147943
2014,147944
2015,147945
2016,147946
2017,147947
2018,147948
2019,147949
2020,147950
2021,147951
2022,147952
2023,147953
2024,147954
2025,147955
2026,147956
2027,147957
2028,147958
2029,147959
2030,147960
2031,147961
2032,147962
2033,147963
2034,147964
2035,147965
2036,147966
2037,147967
2038,147968
2039,147969
2040,147970
2041,147971
2042,147972
2043,147973
2044,147974
2045,147975
2046,147976
2047,147977
2048,147978
2049,147979
2050,147980
2051,147981
2052,147982
2053,147983
2054,147984
2055,147985
2056,147986
2057,147987
2058,147988
2059,147989
2060,147990
2061,147991
2062,147992
2063,147993
2064,147994
2065,147995
2066,147996
2067,147997
2068,147998
2069,147999
2070,148000
2071,148001
2072,148002
2073,148003
2074,148004
2075,148005
2076,148006
2077,148007
2078,148008
2079,148009
2080,148010
2081,148011
2082,148012
2083,148013
2084,148014
2085,148015
2086,148016
2087,148017
2088,148018
2089,148019
2090,148020
2091,148021
2092,148022
2093,148023
2094,148024
2095,148025
2096,148026
2097,148027
2098,148028
2099,148029
2100,148030
2101,148031
2102,148032
2103,148033
2104,148034
2105,148035
2106,148036
2107,148037
2108,148038
2109,148039
2110,148040
2111,148041
2112,148042
2113,148043
2114,148044
2115,148045
2116,148046
2117,148047
2118,148048
2119,148049
2120,148050
2121,148051
2122,148052
2123,148053
2124,148054
2125,148055
2126,148056
2127,148057
2128,148058
2129,148059
2130,148060
2131,148061
2132,148062
2133,148063
2134,148064
2135,148065
2136,148066
2137,148067
2138,148068
2139,148069
2140,148070
2141,148071
2142,148072
2143,148073
2144,148074
2145,148075
2146,148076
2147,148077
2148,148078
2149,148079
2150,148080
2151,148081
2152,148082
2153,148083
2154,148084
2155,148085
2156,148086
2157,148087
2158,148088
2159,148089
2160,148090
2161,148091
2162,148092
2163,148093
2164,148094
2165,148095
2166,148096
2167,148097
2168,148098
2169,148099
2170,148100
2171,148101
2172,148102
2173,148103
2174,148104
2175,148105
2176,148106
2177,148107
2178,148108
2179,148109
2180,148110
2181,148111
2182,148112
2183,148113
2184,148114
2185,148115
2186,148116
2187,148117
2188,148118
2189,148119
2190,148120
2191,148121
2192,148122
2193,148123
2194,148124
2195,148125
2196,148126
2197,148127
2198,148128
2199,148129
2200,148130
2201,148131
2202,148132
2203,148133
2204,148134
2205,148135
2206,148136
2207,148137
2208,148138
2209,148139
2210,148140
2211,148141
2212,148142
2213,148143
2214,148144
2215,148145
2216,148146
2217,148147
2218,148148
2219,148149
2220,148150
2221,148151
2222,148152
2223,148153
2224,148154
2225,148155
2226,148156
2227,148157
2228,148158
2229,148159
2230,148160
2231,148161
2232,148162
2233,148163
2234,148164
2235,148165
2236,148166
2237,148167
2238,148168
2239,148169
2240,148170
2241,148171
2242,148172
2243,148173
2244,148174
2245,148175
2246,148176
2247,148177
2248,148178
2249,148179
2250,148180
2251,148181
2252,148182
2253,148183
2254,148184
2255,148185
2256,148186
2257,148187
2258,148188
2259,148189
2260,148190
2261,148191
2262,148192
2263,148193
2264,148194
2265,148195
2266,148196
2267,148197
2268,148198
2269,148199
2270,148200
2271,148201
2272,148202
2273,148203
2274,148204
2275,148205
2276,148206
2277,148207
2278,148208
2279,148209
2280,148210
2281,148211
2282,148212
2283,148213
2284,148214
2285,148215
2286,148216
2287,148217
2288,148218
2289,148219
2290,148220
2291,148221
2292,148222
2293,148223
2294,148224
2295,148225
2296,148226
2297,148227
2298,148228
2299,148229
2300,148230
2301,148231
2302,148232
2303,148233
2304,148234
2305,148235
2306,148236
2307,148237
2308,148238
2309,148239
2310,148240
2311,148241
2312,148242
2313,148243
2314,148244
2315,148245
2316,148246
2317,148247
2318,148248
2319,148249
2320,148250
2321,148251
2322,148252
2323,148253
2324,148254
2325,148255
2326,148256
2327,148257
2328,148258
2329,148259
2330,148260
2331,148261
2332,148262
2333,148263
2334,148264
2335,148265
2336,148266
2337,148267
2338,148268
2339,148269
2340,148270
2341,148271
2342,148272
2343,148273
2344,148274
2345,148275
2346,148276
2347,148277
2348,148278
2349,148279
2350,148280
2351,148281
2352,148282
2353,148283
2354,148284
2355,148285
2356,148286
2357,148287
2358,148288
2359,148289
2360,148290
2361,148291
2362,148292
2363,148293
2364,148294
2365,148295
2366,148296
2367,148297
2368,148298
2369,148299
2370,148300
2371,148301
2372,148302
2373,148303
2374,148304
2375,148305
2376,148306
2377,148307
2378,148308
2379,148309
2380,148310
2381,148311
2382,148312
2383,148313
2384,148314
2385,148315
2386,148316
2387,148317
2388,148318
2389,148319
2390,148320
2391,148321
2392,148322
2393,148323
2394,148324
2395,148325
2396,148326
2397,148327
2398,148328
2399,148329
2400,148330
2401,148331
2402,148333
2403,148334
2404,148335
2405,148336
2406,148337
2407,148338
2408,148339
2409,148340
2410,148341
2411,148342
2412,148343
2413,148344
2414,148345
2415,148346
2416,148347
2417,148348
2418,148349
2419,148350
2420,148351
2421,148352
2422,148353
2423,148354
2424,148355
2425,148356
2426,148357
2427,148358
2428,148359
2429,148360
2430,148361
2431,148362
2432,148363
2433,148364
2434,148365
2435,148366
